primary_crop,intercrop,support
apple,clover,100
muskmelon,cowpea,100
maize,black_gram,100
maize,cowpea,100
maize,groundnut,100
mango,black_gram,100
mango,cowpea,100
mango,green_manure,100
moth_bean,millet,100
moth_bean,sesame,100
mung_bean,maize,100
mung_bean,sesame,100
mung_bean,sorghum,100
muskmelon,black_gram,100
orange,cowpea,100
apple,green_manure,100
orange,green_manure,100
papaya,black_gram,100
papaya,cowpea,100
pigeon_pea,groundnut,100
pigeon_pea,millet,100
pigeon_pea,sorghum,100
pomegranate,cowpea,100
pomegranate,green_manure,100
rice,black_gram,100
rice,cowpea,100
rice,green_gram,100
watermelon,black_gram,100
lentil,mustard,100
lentil,barley,100
kidney_bean,maize,100
kidney_bean,cowpea,100
apple,pea,100
banana,black_gram,100
banana,cowpea,100
banana,groundnut,100
black_gram,maize,100
black_gram,sesame,100
black_gram,sorghum,100
chickpea,barley,100
chickpea,linseed,100
chickpea,mustard,100
coconut,black_gram,100
coconut,cowpea,100
coconut,groundnut,100
watermelon,cowpea,100
coffee,black_gram,100
coffee,cowpea,100
coffee,green_manure,100
cotton,black_gram,100
cotton,green_gram,100
cotton,groundnut,100
grapes,cowpea,100
grapes,green_manure,100
jute,black_gram,100
jute,green_gram,100
humidity,ph,1
rainfall,main_crop,1
interm_crop,inter_land_cover(%),1
k,temperature,1
n,p,1
